ID,Authors,Title,Source title,DOI link,Year,Is the paper actually about ecological integrity?,Is integrity actually calculated?,Geography,Does metric include animals?,Does metric include animal communities?,Environment,Animal groups,Function Metric,Function notes,Notes,Who
131,Kimmel W.G.; Argent D.G.,Community concordance between fishes and benthic macroinvertebrates among adventitious and ordinate tributaries of a major river system,Ecological Indicators,http://doi.org/10.1016/j.ecolind.2016.05.037,2016,Yes,Yes,North America,Yes,Yes,aquatic,multiple,no,,fish and macroinvertebrates,Ana
134,Kranabetter J.M.; Haeussler S.; Wood C.,"Vulnerability of boreal indicators (ground-dwelling beetles, understory plants and ectomycorrhizal fungi) to severe forest soil disturbance",Forest Ecology and Management,http://doi.org/10.1016/j.foreco.2017.07.008,2017,Yes,Yes,North America,Yes,Yes,terrestrial,invertebrates,no,,beetles in forests,Ana
138,Leathwick J.R.; Moilanen A.; Ferrier S.; Julian K.,"Complementarity-based conservation prioritization using a community classification, and its application to riverine ecosystems",Biological Conservation,http://doi.org/10.1016/j.biocon.2010.01.012,2010,Maybe,Yes/Maybe,New Zealand,Yes,Yes,aquatic,multiple,no,,using variation in ecosystem diversity as a conservation planning tool - using fish and macroinvert communities,Ana
140,Leboucher T.; Mignien L.; Wach M.; Boutry S.; Jamoneau A.; Passy S.I.; Tison-Rosebery J.,Consideration of mass effect processes in bioindication allows more accurate bioassessment of water quality,Ecological Indicators,http://doi.org/10.1016/j.ecolind.2021.107791,2021,Yes,Yes,Europe,Yes,Yes,aquatic,invertebrates,no,,diatoms in rivers,Ana
149,Lõhmus A.; Pass E.; Pensa M.,Distribution of grouse and their predators in peatland forest landscapes: A case for ecological integrity,Forest Ecology and Management,http://doi.org/10.1016/j.foreco.2023.121332,2023,Yes,Maybe,Europe,Yes,Yes,terrestrial,vertebrates,no,,"grouse, metric is not traditional for integrity per se (just species' mapping)",Jamie
150,Lookingbill T.R.; Schmit J.P.; Tessel S.M.; Suarez-Rubio M.; Hilderbrand R.H.,"Assessing national park resource condition along an urban-rural gradient in and around Washington, DC, USA",Ecological Indicators,http://doi.org/10.1016/j.ecolind.2013.12.025,2014,Yes,Yes,North America,Yes,Yes,aquatic,multiple,no,,"fish, aquatic macroinvertebrates, gypsy moth presence",Jamie
153,Lorion C.M.; Kennedy B.P.,Riparian forest buffers mitigate the effects of deforestation on fish assemblages in tropical headwater streams,Ecological Applications,http://doi.org/10.1890/08-0050.1,2009,Yes,Yes,North America,Yes,Yes,aquatic,fish,yes,trophic groups,fish assemblages,Jamie
154,Lougheed V.L.; Chow-Fraser P.,Development and use of a zooplankton index of wetland quality in the Laurentian Great Lakes Basin,Ecological Applications,http://doi.org/10.1890/1051-0761(2002)012[0474:DAUOAZ]2.0.CO;2,2002,Yes,Yes,North America,Yes,Yes,aquatic,invertebrates,yes,habitat associations,zooplankton,Jamie
158,Lyons J.; Navarro‐Pérez S.; Cochran P.A.; Santana E.C.; Guzmán‐Arroyo M.,Index of Biotic Integrity Based on Fish Assemblages for the Conservation of Streams and Rivers in West‐Central Mexico; [Indice de integridad biótica basado en las características de las comunidades de peces para la conservación de arroyos y ríos en el centro‐oeste de México],Conservation Biology,http://doi.org/10.1046/j.1523-1739.1995.09030569.x,1995,Yes,Yes,North America,Yes,Yes,aquatic,fish,yes,"trophic groups,habitat associations",fish assemblages,Jamie
161,MacPherson T.; Bouman O.T.,Concordance of N bio-indicators: Dandelion and earthworms in a rotational pasture,Ecological Indicators,http://doi.org/10.1016/j.ecolind.2012.08.025,2013,Yes,Yes,North America,Yes,Yes,terrestrial,invertebrates,no,,earthworms,Jamie
167,Martínez-Fernández V.; Solana-Gutiérrez J.; García De Jalón D.; Alonso C.,"Sign, strength and shape of stream fish-based metric responses to geo-climatic and human pressure gradients",Ecological Indicators,http://doi.org/10.1016/j.ecolind.2019.04.076,2019,Yes,Yes,Europe,Yes,Yes,aquatic,fish,yes,body size,fish assemblages,Jamie
168,Masese F.O.; Kitaka N.; Kipkemboi J.; Gettel G.M.; Irvine K.; McClain M.E.,Litter processing and shredder distribution as indicators of riparian and catchment influences on ecological health of tropical streams,Ecological Indicators,http://doi.org/10.1016/j.ecolind.2014.05.032,2014,Yes,Yes,Africa,Yes,Yes,aquatic,invertebrates,yes,feeding guild,invertebrates,Jamie
171,McCary M.A.; Martínez J.-C.; Umek L.; Heneghan L.; Wise D.H.,Effects of woodland restoration and management on the community of surface-active arthropods in the metropolitan Chicago region,Biological Conservation,http://doi.org/10.1016/j.biocon.2015.06.005,2015,Yes,Yes,North America,Yes,Yes,terrestrial,invertebrates,no,,arthropod communities,Jamie
175,Medeiros J.P.; Chaves M.L.; Silva G.; Azeda C.; Costa J.L.; Marques J.C.; Costa M.J.; Chainho P.,Benthic condition in low salinity areas of the Mira estuary (Portugal): Lessons learnt from freshwater and marine assessment tools,Ecological Indicators,http://doi.org/10.1016/j.ecolind.2011.09.008,2012,Yes,Yes,Europe,Yes,Yes,multiple,invertebrates,no,,benthic macroinvertabrates,Jamie
176,Meißner T.; Schütt M.; Sures B.; Feld C.K.,Riverine regime shifts through reservoir dams reveal options for ecological management,Ecological Applications,http://doi.org/10.1002/eap.1786,2018,Yes,Yes,Europe,Yes,Yes,aquatic,invertebrates,yes,"habitat associations,sensitivity",macroinvertebrates,Jamie
179,Miguel T.B.; Oliveira-Junior J.M.B.; Ligeiro R.; Juen L.,Odonata (Insecta) as a tool for the biomonitoring of environmental quality,Ecological Indicators,http://doi.org/10.1016/j.ecolind.2017.06.010,2017,Yes,Yes,South America,Yes,Yes,aquatic,invertebrates,no,,Odonata (Insecta) assemblages,Jamie
182,Minaya V.; McClain M.E.; Moog O.; Omengo F.; Singer G.A.,"Scale-dependent effects of rural activities on benthic macroinvertebrates and physico-chemical characteristics in headwater streams of the Mara River, Kenya",Ecological Indicators,http://doi.org/10.1016/j.ecolind.2013.03.011,2013,Yes,Yes,Africa,Yes,Yes,aquatic,invertebrates,no,,benthic macroinvertebrates,Jamie
185,Mora F.,Nation-wide indicators of ecological integrity in Mexico: The status of mammalian apex-predators and their habitat,Ecological Indicators,http://doi.org/10.1016/j.ecolind.2017.06.030,2017,Yes,Yes,North America,Yes,Yes,terrestrial,mammals,no,,good example including mammals in Mexico,Jamie
186,Moreira-Arce D.; Vergara P.M.; Fierro A.; Pincheira E.; Crespin S.J.; Alaniz A.; Carvajal M.A.,Standing dead trees as indicators of vertebrate diversity: Bringing continuity to the ecological role of senescent trees in austral temperate forests,Ecological Indicators,http://doi.org/10.1016/j.ecolind.2021.107878,2021,Yes,Yes,South America,Yes,Yes,terrestrial,vertebrates,no,,another good example using birds and mammals and really great figures!,Jamie
